,Name,Rating,Cuisine,Avg Rate,Area,Zone
233,DABO Club And Kitchen,4.5," Continental, North Indian, Desserts, Beverages","₹ 2,200 for 2 (approx) ",Manish Nagar, South Nagpur
234,House Of Caffeine,4," Italian, Fast Food, Desserts, Beverages","₹ 1,000 for 2 (approx) ",Hingna T Point, South Nagpur
235,C.E.O. Sakkardhara,," Chinese, Italian, Fast Food",₹ 500 for 2 (approx) ,Nandanvan, East Nagpur
236,Sham-E-Mehfil,3.4," Biryani, North Indian, Chinese, Seafood",₹ 800 for 2 (approx) ,Hingna T Point, South Nagpur
237,Shrikhandwala,, Desserts,₹ 300 for 2 (approx) ,Bajaj Nagar, West Nagpur
238,Burger Bar,," Burger, Fast Food","₹ 1,000 for 2 (approx) ",Laxminagar, South Nagpur
239,Hideout Cafe,, Fast Food,₹ 600 for 2 (approx) ,Bajaj Nagar, West Nagpur
240,Icing On The Cake,," Desserts, Fast Food",₹ 600 for 2 (approx) ,Lakadganj, East Nagpur
241,Shabana's Signature Shop,1," Fast Food, Pizza, Chinese",₹ 300 for 2 (approx) ,Gittikhadan, North Nagpur
242,Pizza Hut,," Pizza, Fast Food",₹ 800 for 2 (approx) ,Bajaj Nagar, West Nagpur
243,Hangout Cafe,, Fast Food,₹ 500 for 2 (approx) ,Nandanvan, East Nagpur
244,Chill House Cafe,, Fast Food,₹ 400 for 2 (approx) ,Nandanvan, East Nagpur
245,Fusion Grill,," Fast Food, Beverages",₹ 500 for 2 (approx) ,Bajaj Nagar, West Nagpur
246,UFO Fries & Corn,," Italian, Fast Food","₹ 1,000 for 2 (approx) ",Bajaj Nagar, West Nagpur
247,Temptation Cafe,, Fast Food,₹ 500 for 2 (approx) ,Nandanvan, East Nagpur
248,Athithi Devo Bhava,," North Indian, Chinese",₹ 600 for 2 (approx) ,Nandanvan, East Nagpur
249,Buland Darbar - Biryani & Kebabs,, North Indian,₹ 500 for 2 (approx) ,Bajaj Nagar, West Nagpur
250,Seven O Eleven,," Continental, Italian, Beverages",₹ 800 for 2 (approx) ,Pratap Nagar, South Nagpur
251,Roti Botti,, North Indian,₹ 600 for 2 (approx) ,Bajaj Nagar, West Nagpur
252,The Barbque House,1," North Indian, Chinese, Fast Food",₹ 700 for 2 (approx) ,Wardhaman Nagar, East Nagpur
253,The Pink Berry,, Desserts,₹ 500 for 2 (approx) ,Laxminagar, South Nagpur
254,Cluckers Fried Chicken Restaurant,," Burger, Fast Food",₹ 400 for 2 (approx) ,Civil Lines, West Nagpur
255,Tandoori Heights,4.5," North Indian, Mughlai","₹ 1,000 for 2 (approx) ","The Legend Inn,Wardha Road", South Nagpur
256,Tangerine,3.9, North Indian,"₹ 1,600 for 2 (approx) ","The Pride Hotel,Wardha Road", South Nagpur
257,Luk-kha Iron Kitchen,," North Indian, Fast Food",₹ 400 for 2 (approx) ,Gandhi Nagar, West Nagpur
258,Foodie Heist,, Fast Food,₹ 400 for 2 (approx) ,Nandanvan, East Nagpur
259,Cafe Pride,3.8," North Indian, South Indian, Continental, Chinese","₹ 1,500 for 2 (approx) ","The Pride Hotel,Wardha Road", South Nagpur
260,The Seven Hotel,," North Indian, Continental, Chinese","₹ 1,500 for 2 (approx) ",Laxminagar, South Nagpur
261,Skytouch Rooftop,1.4," North Indian, Chinese, Mughlai",₹ 700 for 2 (approx) ,Manish Nagar, South Nagpur
262,Shikhar,4," North Indian, Chinese","₹ 1,000 for 2 (approx) ","The Legend Inn,Wardha Road", South Nagpur
263,Ravi's Food,3," Fast Food, North Indian, Chinese",₹ 700 for 2 (approx) ,Mankapur, North Nagpur
264,Food Beyond Fantasy,4.3," North Indian, Chinese, Fast Food","₹ 1,400 for 2 (approx) ",Vayu Sena, West Nagpur
265,The Social Monk,2," North Indian, Chinese, Continental","₹ 1,200 for 2 (approx) ",Pratap Nagar, South Nagpur
266,Xotik Cafe,,,₹ 300 for 2 (approx),"Ginger Mall,Jaripatka", North Nagpur
267,Aaswad Family Restaurant,," Chinese, North Indian",₹ 600 for 2 (approx) ,Nandanvan, East Nagpur
268,Boards and Brews,, North Indian,₹ 500 for 2 (approx) ,Ravi Nagar, West Nagpur
269,Czaar Lounge and Restaurant,3.5," North Indian, Chinese, Continental, Thai","₹ 1,000 for 2 (approx) ",Wardha Road, South Nagpur
270,Cluckers Fried Chicken Restaurant,," Burger, Fast Food",₹ 400 for 2 (approx) ,Bajaj Nagar, West Nagpur
271,Median Grilled Burgers,3.4," Fast Food, Pizza, Beverages",₹ 600 for 2 (approx) ,Manish Nagar, South Nagpur
272,Yoodley Cakes And Shakes,1," Desserts, Beverages",₹ 400 for 2 (approx) ,Pratap Nagar, South Nagpur
273,Spirited Square,," Chinese, Fast Food, Italian","₹ 2,400 for 2 (approx) ",Wardha Road, South Nagpur
274,Food Beyond Fantasy,2.6, Chinese,"₹ 1,200 for 2 (approx) ",Zingabai Takli, West Nagpur
275,Fructose,," Desserts, Beverages",₹ 400 for 2 (approx) ,Pratap Nagar, South Nagpur
276,Haveli Heritage,, Mughlai,₹ 400 for 2 (approx) ,Khamla, South Nagpur
277,Yummi Momos & Restro,, Fast Food,₹ 300 for 2 (approx) ,Vayu Sena, West Nagpur
278,Dragon Chinese,, Chinese,₹ 400 for 2 (approx) ,Ayodhya Nagar, South Nagpur
279,Suryakant Saoji,1," Maharashtrian, North Indian",₹ 600 for 2 (approx) ,Pratap Nagar, South Nagpur
280,Rolls Mania,, Fast Food,₹ 300 for 2 (approx) ,Pratap Nagar, South Nagpur
281,Six Degrees Lounge,," North Indian, Chinese, Fast Food, Beverages","₹ 2,400 for 2 (approx) ",Pratap Nagar, South Nagpur
282,The Roll Corner,, Fast Food,₹ 200 for 2 (approx) ,Ayodhya Nagar, South Nagpur
283,The Roll and Chinese Corner,, Fast Food,₹ 300 for 2 (approx) ,Ayodhya Nagar, South Nagpur
284,The Biryani Corner,," Biryani, North Indian",₹ 400 for 2 (approx) ,Ayodhya Nagar, South Nagpur
285,Tapari Cafeos,," Fast Food, Beverages",₹ 300 for 2 (approx) ,Pratap Nagar, South Nagpur
286,Machhan Restaurant,3," North Indian, Chinese, Fast Food","₹ 1,300 for 2 (approx) ",Wardha Road, South Nagpur
287,F TV lounge Nagpur,," North Indian, Fast Food, Beverages","₹ 2,300 for 2 (approx) ",Wardha Road, South Nagpur
288,Cheers Bar,2.3," North Indian, Asian","₹ 1,000 for 2 (approx) ",Wardha Road, South Nagpur
289,Cake Links,, Desserts,₹ 400 for 2 (approx) ,Wardhaman Nagar, East Nagpur
290,Oye Orange,1, North Indian,₹ 700 for 2 (approx) ,"Empress City Mall,Gandhibagh", East Nagpur
291,The Pink Berry,, Desserts,₹ 400 for 2 (approx) ,Wardhaman Nagar, East Nagpur
292,Sugar Ice cream and Shakes,, Desserts,₹ 300 for 2 (approx) ,Wardha Road, South Nagpur
293,Icing On The Cake,," Continental, Chinese, Beverages",₹ 900 for 2 (approx) ,Pratap Nagar, South Nagpur
294,Yummi Momos,, Fast Food,₹ 300 for 2 (approx) ,pachpaoli, East Nagpur
295,Blossoms,," North Indian, Chinese",₹ 600 for 2 (approx) ,"Hotel Shivani International,Wardha Road", South Nagpur
296,The Gramophone,4.3," Chinese, North Indian, Continental","₹ 1,700 for 2 (approx) ","Hotel Heritage Embassy,Hingna T Point", South Nagpur
297,Oasis,4.2," Chinese, North Indian, Continental","₹ 1,000 for 2 (approx) ","Hotel Heritage Embassy,Hingna T Point", South Nagpur
298,Ivory House Rooftop Restaurant,," North Indian, Chinese","₹ 1,000 for 2 (approx) ",Pratap Nagar, South Nagpur
299,Moonlight Garden Restaurant,1," North Indian, Chinese",₹ 600 for 2 (approx) ,Manish Nagar, South Nagpur
300,Billu Bassi Cuisine,3.7," Chinese, North Indian, Continental",₹ 800 for 2 (approx) ,"Hotel Heritage Embassy,Hingna T Point", South Nagpur
301,The Breakfast Story,," Continental, American, Beverages",₹ 800 for 2 (approx) ,Hingna T Point, South Nagpur
302,Yum Yum Cafe,," Fast Food, Beverages",₹ 400 for 2 (approx) ,Wardha Road, South Nagpur
303,Vyanjan Restaurant,," North Indian, Chinese",₹ 800 for 2 (approx) ,Somalwada, South Nagpur
304,Starboy Pizza & Shakes,," Italian, Pizza",₹ 400 for 2 (approx) ,Gayatri Nagar, South Nagpur
305,New York Waffles & Dinges,, Desserts,₹ 400 for 2 (approx) ,Gayatri Nagar, South Nagpur
306,Icing On The Cake,," Continental, North Indian, Pizza",₹ 800 for 2 (approx) ,Vayu Sena, West Nagpur
307,Yummi Momos,," Chinese, Fast Food",₹ 400 for 2 (approx) ,Pratap Nagar, South Nagpur
308,Shabana's Afzal Bakery,," Fast Food, Chettinad, Pizza",₹ 200 for 2 (approx) ,Gittikhadan, North Nagpur
309,Mr Fries,, Fast Food,₹ 400 for 2 (approx) ,Pratap Nagar, South Nagpur
310,Mad Casa,," Fast Food, Pizza",₹ 300 for 2 (approx) ,Wardhaman Nagar, East Nagpur
311,Golden Harvest Airport Centre Point,," North Indian, Chinese","₹ 2,500 for 2 (approx) ",Wardha Road, South Nagpur
312,MotoRush Garage Cafe,," Burger, Continental",₹ 700 for 2 (approx) ,Subhash Nagar, Central Nagpur
313,UNLtd.,," Pizza, Fast Food",₹ 500 for 2 (approx) ,Manish Nagar, South Nagpur
314,Hotel Gulmohar Family Restaurant,," North Indian, Chinese",₹ 800 for 2 (approx) ,Manish Nagar, South Nagpur
315,Frost and Feather,," Fast Food, Beverages",₹ 500 for 2 (approx) ,Manish Nagar, South Nagpur
316,Hardrock Lounge By RR,," North Indian, Italian","₹ 1,000 for 2 (approx) ",Manish Nagar, South Nagpur
317,C.E.O. Hingna T Point,, Fast Food,₹ 500 for 2 (approx) ,Hingna T Point, South Nagpur
318,House Of Caffeine,4.1," Fast Food, Pizza, Burger",₹ 600 for 2 (approx) ,Hingna T Point, South Nagpur
319,Kickass 42,," Street Food, Fast Food, Beverages",₹ 300 for 2 (approx) ,Wardha Road, South Nagpur
320,V4 Veggie Restaurant,1," North Indian, South Indian, Chinese",₹ 500 for 2 (approx) ,Hingna T Point, South Nagpur
321,Club NH7,2.8," North Indian, Chinese, Continental","₹ 1,100 for 2 (approx) ",Subhash Nagar, Central Nagpur
322,Hotel The Nirvana,, North Indian,"₹ 1,300 for 2 (approx) ",Wadi, West Nagpur
323,Rock Bottom,5," Chinese, North Indian, Continental","₹ 1,300 for 2 (approx) ",Hingna T Point, South Nagpur
324,Swad Palace Family Restaurant,," North Indian, Chinese","₹ 1,200 for 2 (approx) ",Koradi Road, North Nagpur
325,Jaiswal Biryani House,," Biryani, North Indian",₹ 800 for 2 (approx) ,Hingna T Point, South Nagpur
326,Uttar De Puttar Family Garden Restaurant,," North Indian, Mughlai, Chinese",₹ 700 for 2 (approx) ,Kamptee, North Nagpur
327,Bombaywala,," North Indian, Fast Food, South Indian",₹ 400 for 2 (approx) ,Hingna T Point, South Nagpur
328,Supreme Chinese,," Chinese, Fast Food",₹ 300 for 2 (approx) ,Ayodhya Nagar, South Nagpur
329,Zero Degree Restaurant & Lounge,4.2," North Indian, Chinese, Continental, Finger Food, Desserts","₹ 1,400 for 2 (approx) ","Zero Degree,Hingna T Point", South Nagpur
330,The Jailer's Kitchen - Family Restaurant,3.5," North Indian, Mughlai",₹ 500 for 2 (approx) ,Mihan, North Nagpur
331,The Latest Recipe,4.1," North Indian, Continental, Asian, Mughlai","₹ 1,100 for 2 (approx) ","Le Méridien Nagpur,Wardha Road", South Nagpur
332,Longitude,4, Finger Food,"₹ 3,000 for 2 (approx) ","Le Méridien Nagpur,Wardha Road", South Nagpur
333,Club 9912,2.5," Chinese, North Indian, Continental","₹ 1,500 for 2 (approx) ",Hingna T Point, South Nagpur
334,Orbiyo Natural Icecreams,, Desserts,₹ 200 for 2 (approx) ,Hingna T Point, South Nagpur
335,Roof Zero,1.8," Chinese, North Indian, Continental","₹ 1,400 for 2 (approx) ","Zero Degree,Hingna T Point", South Nagpur
336,The Divine Cafe And Restro,5," Fast Food, North Indian",₹ 500 for 2 (approx) ,Hingna T Point, South Nagpur
337,Cafe Chocolicious And Chicken Affair,," Fast Food, Beverages",₹ 400 for 2 (approx) ,Nandanvan, East Nagpur
338,Havana Restro,2," North Indian, Seafood","₹ 1,000 for 2 (approx) ",Wardha Road, South Nagpur
339,Elemento Family Restaurant,," North Indian, Chinese, Beverages",₹ 700 for 2 (approx) ,Wardha Road, South Nagpur
340,The Habitat,3.9," North Indian, Chinese, Fast Food","₹ 1,100 for 2 (approx) ",Hingna T Point, South Nagpur
341,Mississippi Restro,3.9, North Indian,₹ 600 for 2 (approx) ,Wardha Road, South Nagpur
342,Black Ice,," North Indian, Chinese, Fast Food",₹ 900 for 2 (approx) ,"Zero Degree,Hingna T Point", South Nagpur
343,Kings Landing,," Chinese, North Indian, Continental","₹ 1,200 for 2 (approx) ","Zero Degree,Hingna T Point", South Nagpur
344,Spice and Symphony,5, North Indian,"₹ 1,000 for 2 (approx) ",Wadi, West Nagpur
345,Dublin 88 - The Irish Hub,3.6," Continental, North Indian","₹ 1,300 for 2 (approx) ",Vayu Sena, West Nagpur
346,Highlands Water Front,3.6," Continental, North Indian, Chinese","₹ 1,600 for 2 (approx) ",Wadi, West Nagpur
347,Behind the Lake,," North Indian, Chinese","₹ 1,000 for 2 (approx) ",Koradi Road, North Nagpur
348,Village Side,," Chinese, North Indian",₹ 800 for 2 (approx) ,Yerla, North Nagpur
